request_id,passenger_id,timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,vehicle_type,music_preference,preferred_temperature,quiet_ride,payment_method,loyalty_points_used,estimated_fare,driver_rating,status,driver_id,request_timestamp,accepted_timestamp,ride_duration
REQ-1745433351-9224,P00475,1745433351417,40.90094744787991,-74.91916483024094,40.47906800893812,-74.90725574550353,ECONOMY,CLASSICAL,25,true,CREDIT_CARD,,72.75902,,COMPLETED,driver_044,1745433351417,1745433729617,1467.9562
REQ-1745433348-4761,P00300,1745433348393,41.626072930046384,-73.93261236686533,41.1842298548038,-74.08900614354435,ECONOMY,POP,21,false,APPLE_PAY,,78.61534,,COMPLETED,driver_057,1745433348393,1745433891169,6089.2275
REQ-1745433358-3329,P00375,1745433358462,41.92736034429457,-74.89779926977529,41.670059162646886,-74.52340316896155,SUV,HIP_HOP,23,false,CREDIT_CARD,,262.82196,1.6,COMPLETED,driver_163,1745433358462,1745435476064,5056.4395
REQ-1745433349-9491,P00221,1745433349401,41.50503582376876,-75.47610545791333,41.97040842486946,-75.04471173698346,ECONOMY,HIP_HOP,23,true,CASH,,96.71534,4.9,COMPLETED,driver_188,1745433349401,1745434547882,7537.227
REQ-1745433362-8301,P00315,1745433362487,39.70665685260664,-75.23985267305123,39.250797113371405,-75.16436970389628,ECONOMY,CLASSICAL,24,true,CASH,,79.01804,3.8,COMPLETED,driver_267,1745433362487,1745434748914,6121.444
REQ-1745433347-9841,P00034,1745433347384,39.941644581846916,-73.31587248905946,39.89057254862742,-73.8470594513928,SUV,HIP_HOP,23,true,CREDIT_CARD,,125.98233,,COMPLETED,driver_184,1745433347384,1745437661716,5469.2046
REQ-1745433369-6719,P00015,1745433369536,41.38723519445199,-74.42991486349206,41.77639776275119,-74.42836579612516,LUXURY,CLASSICAL,19,true,DEBIT_CARD,,478.5483,3.8,COMPLETED,driver_090,1745433369536,1745435893920,5183.6685
REQ-1745433397-2630,P00332,1745433397637,42.035762476630005,-74.48055470279925,41.87694450010162,-74.30794694947565,SUV,HIP_HOP,21,false,DEBIT_CARD,,36.500088,,COMPLETED,driver_037,1745433397637,1745436476223,2720.0068
REQ-1745433439-5438,P00056,1745433439776,40.629854628476785,-74.25346907318553,40.705783537306466,-74.27037658412515,ECONOMY,CLASSICAL,20,false,GOOGLE_PAY,,42.558937,2.3,CANCELLED,driver_193,1745433439776,1745434454562,482.24973
REQ-1745433364-1269,P00160,1745433364499,41.78838422096229,-74.89886448349822,41.69641171965619,-74.32163207946327,ECONOMY,NO_PREFERENCE,26,false,PAYPAL,,134.80582,2.2,COMPLETED,driver_204,1745433364499,1745437128185,5866.2617
REQ-1745433348-8333,P00011,1745433348393,40.61527292100468,-74.20527218507668,41.47309029714495,-74.035082581789,ECONOMY,NO_PREFERENCE,23,true,DEBIT_CARD,,146.91669,,COMPLETED,driver_055,1745433348393,1745433818980,11553.335
REQ-1745433376-9099,P00315,1745433376580,39.70665685260664,-75.23985267305123,39.250797113371405,-75.16436970389628,SUV,HIP_HOP,26,false,APPLE_PAY,,140.47653,1.8,COMPLETED,driver_275,1745433376580,1745436621800,6121.444
REQ-1745433438-2823,P00292,1745433438771,40.384324869432135,-73.29436360186557,40.26057232753976,-73.3769482572656,ECONOMY,ROCK,26,true,CREDIT_CARD,,25.618408,3.2,COMPLETED,driver_031,1745433438771,1745435155004,1849.4727
REQ-1745433356-2779,P00477,1745433356448,41.48179583088838,-74.7790388765892,40.87882647427824,-74.40489180574164,SUV,POP,21,false,PAYPAL,,201.42789,3.1,COMPLETED,driver_254,1745433356448,1745436912321,8864.255
REQ-1745433384-4012,P00532,1745433384598,39.31312381314665,-73.9157303034063,39.662168633071545,-73.5986627655688,ECONOMY,JAZZ,19,true,PAYPAL,,73.474846,3.4,COMPLETED,driver_072,1745433384598,1745437318190,5677.9873
REQ-1745433354-5028,P00578,1745433354436,40.21779274675553,-75.1628388480588,40.99983381449713,-74.66498977268839,ECONOMY,POP,25,false,CREDIT_CARD,,147.11908,3.9,COMPLETED,driver_250,1745433354436,1745434881984,11569.525
REQ-1745433431-2265,P00231,1745433431726,40.36779800656512,-74.47284280067103,40.25372012812819,-74.10871946852807,ECONOMY,POP,20,true,CREDIT_CARD,,145.7788,2.9,COMPLETED,driver_214,1745433431726,1745434937570,3998.429
REQ-1745433358-3016,P00414,1745433358462,40.211204463574724,-73.97989167786301,40.810461187553685,-74.83328752795023,ECONOMY,POP,23,true,DEBIT_CARD,,149.55629,,CANCELLED,driver_175,1745433358462,1745435235302,2099.1316
REQ-1745433353-8234,P00456,1745433353429,41.132394960546286,-74.02663981877335,40.59063547452426,-72.94578713602394,ECONOMY,HIP_HOP,20,true,CASH,,663.1263,,COMPLETED,driver_110,1745433353429,1745434642525,13062.525
REQ-1745433440-9148,P00485,1745433440782,39.85270384520858,-73.02241361843497,39.98322944489638,-72.67876054873702,ECONOMY,JAZZ,22,true,GOOGLE_PAY,,51.470768,2.1,COMPLETED,driver_022,1745433440782,1745436203600,3917.6614
REQ-1745433377-5433,P00031,1745433377589,39.837238565025466,-74.23869836398195,39.49993376938204,-75.3983596699394,ECONOMY,CLASSICAL,23,false,CASH,,286.90298,,COMPLETED,driver_182,1745433377589,1745434834535,12710.635
REQ-1745433444-5452,P00050,1745433444810,41.603349743690835,-74.47515117945171,41.23105951827184,-74.91316218761074,SUV,POP,23,true,PAYPAL,,85.16394,,COMPLETED,driver_163,1745433444810,1745434454904,6613.115
REQ-1745433347-9623,P00440,1745433347385,39.68391456515249,-74.67797992974839,39.54902160782022,-73.02859798898689,ECONOMY,ROCK,18,false,CREDIT_CARD,,215.23854,4.3,COMPLETED,driver_292,1745433347385,1745433854777,17019.084
REQ-1745433371-2922,P00557,1745433371547,40.69726330805569,-75.11671254534295,39.74545115017517,-75.42169108310844,ECONOMY,CLASSICAL,25,false,DEBIT_CARD,,294.4903,3.2,COMPLETED,driver_299,1745433371547,1745435496461,13052.063
REQ-1745433362-7719,P00002,1745433362487,39.35444419821248,-75.4871854611284,39.350856674914596,-74.31435281032724,ECONOMY,ROCK,22,false,CREDIT_CARD,,272.88956,,COMPLETED,driver_237,1745433362487,1745437443640,12080.03
REQ-1745433409-4789,P00066,1745433409660,41.15537896399988,-73.8460361931096,41.07408614409089,-74.81133139826099,ECONOMY,JAZZ,25,true,PAYPAL,,124.34093,,COMPLETED,driver_110,1745433409660,1745435246936,9747.274
REQ-1745433384-6201,P00456,1745433384597,41.132394960546286,-74.02663981877335,40.59063547452426,-72.94578713602394,ECONOMY,HIP_HOP,25,false,CREDIT_CARD,,294.72278,2.5,COMPLETED,driver_017,1745433384597,1745434364646,13062.525
REQ-1745433385-3207,P00182,1745433385604,39.750927712635274,-73.85343041850427,40.72045383724395,-73.56912295399336,ECONOMY,HIP_HOP,20,false,PAYPAL,64,167.92146,3.4,COMPLETED,driver_028,1745433385604,1745434627832,13233.718
REQ-1745433419-6775,P00016,1745433419691,40.533853530208866,-73.29016705468764,41.06980648413968,-73.713434004152,ECONOMY,ROCK,22,true,CREDIT_CARD,,106.4663,,COMPLETED,driver_263,1745433419691,1745436977319,8317.304
REQ-1745433371-4336,P00387,1745433371548,40.80486989979168,-73.38346779637897,40.965986798101284,-74.15604923242215,SUV,NO_PREFERENCE,23,false,APPLE_PAY,,103.38255,,COMPLETED,driver_004,1745433371548,1745442275306,8070.604
